Gene_ID	GO_ID
LG10g1	GO:0008270,GO:0003700,GO:0006355,GO:0043565
LG10g1000	GO:0007186,GO:0016020,GO:0004930
LG10g1001	GO:0016020,GO:0006820,GO:0008509
LG10g1003	GO:0005525
LG10g1007	GO:0003677,GO:0006313,GO:0015074
LG10g1008	GO:0006955,GO:0005615,GO:0006954,GO:0005125
LG10g1009	GO:0000977,GO:0032422
LG10g1010	GO:0003677
LG10g1012	GO:0034061,GO:0003677
LG10g1014	GO:0005739
LG10g1016	GO:0006468,GO:0005524,GO:0004672
LG10g1018	GO:0016624
LG10g1019	GO:0004649,GO:0006282
LG10g102	GO:0003924,GO:0005525
LG10g1023	GO:0008270
LG10g1024	GO:0000413,GO:0003755
LG10g1026	GO:0016311
LG10g103	GO:0006468,GO:0004672
LG10g1030	GO:0007186,GO:0016020,GO:0004930
LG10g1031	GO:0003743,GO:0006413
LG10g1033	GO:0003779,GO:0005543
LG10g1034	GO:0046983
LG10g1035	GO:0003723
LG10g1036	GO:0005515
LG10g1043	GO:0046872
LG10g1046	GO:0005515,GO:0016055,GO:0008013,GO:0008017
LG10g1047	GO:0007186,GO:0016020,GO:0004930
LG10g1053	GO:0022857,GO:0055085
LG10g1056	GO:0007276
LG10g1059	GO:0003774,GO:0016459,GO:0005524
LG10g1064	GO:0006468,GO:0005524,GO:0004672
LG10g1065	GO:0005515
LG10g1066	GO:0003677
LG10g1068	GO:0008270,GO:0004181,GO:0006508
LG10g1069	GO:0003676,GO:0005524
LG10g107	GO:0005634,GO:0006351,GO:0007623
LG10g1072	GO:0008237,GO:0008270
LG10g1073	GO:0016020
LG10g1074	GO:0016020
LG10g1075	GO:0046872
LG10g1076	GO:0005515
LG10g1080	GO:0005085,GO:0007264
LG10g1081	GO:0016772,GO:0016301
LG10g1083	GO:0005515
LG10g1089	GO:0005741,GO:0055085
LG10g109	GO:0003700,GO:0006355
LG10g1090	GO:0016887,GO:0005524
LG10g1092	GO:0008270
LG10g1094	GO:0003676,GO:0005524
LG10g1096	GO:0004725,GO:0006470
LG10g110	GO:0006468,GO:0004672,GO:0005515
LG10g1101	GO:0050482,GO:0004623,GO:0006644
LG10g1102	GO:0005515
LG10g1103	GO:0005515
LG10g1109	GO:0005515
LG10g111	GO:0030170,GO:0009058
LG10g1110	GO:0006468,GO:0005524,GO:0004672
LG10g1111	GO:0003924,GO:0005525
LG10g1112	GO:0008289
LG10g1113	GO:0006468,GO:0004672
LG10g1115	GO:0010756,GO:0005886
LG10g1118	GO:0007165,GO:0007264,GO:0005085
LG10g1123	GO:0007165,GO:0004114
LG10g1128	GO:0009922,GO:0016020
LG10g1133	GO:0009247,GO:0001733,GO:0016020
LG10g1134	GO:0003723
LG10g1139	GO:0007186,GO:0016020,GO:0004930
LG10g1141	GO:0005515
LG10g1144	GO:0008083
LG10g1146	GO:0007186,GO:0016020,GO:0004930
LG10g1150	GO:0005515
LG10g1154	GO:0016020,GO:0004675,GO:0006468,GO:0005524,GO:0004672
LG10g1167	GO:0006355,GO:0005634,GO:0003677
LG10g1169	GO:0006355
LG10g1170	GO:0006355
LG10g1171	GO:0008083
LG10g1173	GO:0005515
LG10g1175	GO:0016409
LG10g1178	GO:0008168,GO:0016706
LG10g1182	GO:0008270,GO:0005634
LG10g1183	GO:0005216,GO:0055085,GO:0016020,GO:0006811
LG10g1187	GO:0003723
LG10g1189	GO:0006468,GO:0004672
LG10g124	GO:0005515
LG10g128	GO:0003723
LG10g129	GO:0003723
LG10g131	GO:0004478,GO:0006556
LG10g132	GO:0035091
LG10g134	GO:0008360,GO:0016020
LG10g139	GO:0016020,GO:0015276
LG10g147	GO:0005515,GO:0006468,GO:0004672
LG10g15	GO:0043138,GO:0006260,GO:0006281
LG10g152	GO:0007186,GO:0016020,GO:0004930
LG10g153	GO:0006468,GO:0004672,GO:0005515
LG10g155	GO:0004869
LG10g160	GO:0005515
LG10g17	GO:0003676,GO:0008408,GO:0006139
LG10g178	GO:0008108,GO:0006012
LG10g18	GO:0000977,GO:0032422
LG10g180	GO:0016887,GO:0005524,GO:0005515
LG10g181	GO:0046332
LG10g184	GO:0006355
LG10g185	GO:0005515
LG10g186	GO:0005515
LG10g20	GO:0016787
LG10g203	GO:0005515
LG10g204	GO:0051260
LG10g205	GO:0003723
LG10g207	GO:0005515
LG10g208	GO:0004222,GO:0006508
LG10g21	GO:0005515
LG10g210	GO:0005515
LG10g211	GO:0005515
LG10g212	GO:0005515
LG10g214	GO:0008270,GO:0003677
LG10g216	GO:0016020
LG10g218	GO:0005515
LG10g22	GO:0003824
LG10g220	GO:0005515
LG10g221	GO:0005515
LG10g222	GO:0005515
LG10g224	GO:0046488,GO:0052742
LG10g228	GO:0008270,GO:0005525,GO:0003924
LG10g229	GO:0000413,GO:0003755
LG10g23	GO:0032580,GO:0008376
LG10g230	GO:0004222,GO:0006508
LG10g232	GO:0000413,GO:0003755
LG10g242	GO:0016757
LG10g243	GO:0016491
LG10g244	GO:0003723,GO:0006396
LG10g245	GO:0005515
LG10g249	GO:0006468,GO:0004672
LG10g253	GO:0016020,GO:0055085,GO:0022857
LG10g254	GO:0016020,GO:0055085,GO:0022857
LG10g255	GO:0003924,GO:0005525
LG10g256	GO:0031683,GO:0019001,GO:0007186,GO:0003924
LG10g258	GO:0016020,GO:0042500
LG10g260	GO:0022857,GO:0055085,GO:0016020,GO:0007059,GO:0051301,GO:0008017
LG10g261	GO:0005524
LG10g262	GO:0006813,GO:0016020,GO:0016286
LG10g264	GO:0005516,GO:0006813,GO:0015269,GO:0016020,GO:0016286
LG10g265	GO:0005525
LG10g266	GO:0008289
LG10g267	GO:0006817,GO:0005315,GO:0016020
LG10g270	GO:0008009,GO:0005576,GO:0006955
LG10g273	GO:0005515
LG10g274	GO:0005515
LG10g282	GO:0005515
LG10g289	GO:0016787
LG10g290	GO:0007186,GO:0016020,GO:0004930
LG10g298	GO:0005515
LG10g300	GO:0016491
LG10g302	GO:0005524,GO:0046034,GO:1902600
LG10g311	GO:0031267,GO:0006886
LG10g317	GO:0003779,GO:0007010
LG10g318	GO:0007186,GO:0016020,GO:0004930
LG10g319	GO:0016787
LG10g32	GO:0032012,GO:0005085
LG10g321	GO:0005515
LG10g322	GO:0003676
LG10g324	GO:0016020,GO:0016641,GO:0005507
